"CruiseHaul","survey","maturity","maturity_table","sex","fork_length","matcode","latitude","longitude","year","datetime","yday","is_spsp","is_mature","mat5stage","weight"
"198302-1",198302,"Prespawning",3,"Female",54,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Prespawning",3,"Female",54,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Developing",3,"Female",45,2,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,0,"Developing",1
"198302-1",198302,"Prespawning",3,"Female",49,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Prespawning",3,"Female",44,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Developing",3,"Female",38,2,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,0,"Developing",1
"198302-1",198302,"Developing",3,"Female",44,2,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,0,"Developing",1
"198302-1",198302,"Developing",3,"Female",40,2,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,0,"Developing",1
"198302-1",198302,"Prespawning",3,"Female",37,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Prespawning",3,"Female",53,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Developing",3,"Female",48,2,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,0,"Developing",1
"198302-1",198302,"Prespawning",3,"Female",39,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Prespawning",3,"Female",50,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Prespawning",3,"Female",53,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Developing",3,"Female",40,2,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,0,"Developing",1
"198302-1",198302,"Prespawning",3,"Female",48,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Developing",3,"Female",42,2,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,0,"Developing",1
"198302-1",198302,"Developing",3,"Female",38,2,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,0,"Developing",1
"198302-1",198302,"Developing",3,"Female",45,2,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,0,"Developing",1
"198302-1",198302,"Prespawning",3,"Female",51,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Prespawning",3,"Female",55,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Prespawning",3,"Female",47,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Prespawning",3,"Female",49,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Developing",3,"Female",44,2,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,0,"Developing",1
"198302-1",198302,"Prespawning",3,"Female",51,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Developing",3,"Female",36,2,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,0,"Developing",1
"198302-1",198302,"Prespawning",3,"Female",50,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Developing",3,"Female",37,2,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,0,"Developing",1
"198302-1",198302,"Prespawning",3,"Female",48,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Prespawning",3,"Female",48,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Prespawning",3,"Female",52,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Developing",3,"Female",41,2,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,0,"Developing",1
"198302-1",198302,"Prespawning",3,"Female",55,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Prespawning",3,"Female",44,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Developing",3,"Female",36,2,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,0,"Developing",1
"198302-1",198302,"Prespawning",3,"Female",44,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Prespawning",3,"Female",42,3,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,1,"Prespawning",1
"198302-1",198302,"Developing",3,"Female",44,2,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,0,"Developing",1
"198302-1",198302,"Developing",3,"Female",41,2,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,0,"Developing",1
"198302-1",198302,"Developing",3,"Female",42,2,56.5735,-155.887,1983,1983-03-09 13:00:00,68,0,0,"Developing",1
