V1,V2,V3
-170,62,-43
-169.933222036728,62,-43
-169.866444073456,62,-42
-169.799666110184,62,-42
-169.732888146912,62,-42
-169.666110183639,62,-41
-169.599332220367,62,-41
-169.532554257095,62,-40
-169.465776293823,62,-40
-169.398998330551,62,-40
-169.332220367279,62,-39
-169.265442404007,62,-39
-169.198664440735,62,-38
-169.131886477462,62,-38
-169.06510851419,62,-37
-168.998330550918,62,-37
-168.931552587646,62,-36
-168.864774624374,62,-36
-168.797996661102,62,-35
-168.73121869783,62,-35
-168.664440734558,62,-34
-168.597662771285,62,-34
-168.530884808013,62,-33
-168.464106844741,62,-33
-168.397328881469,62,-32
-168.330550918197,62,-32
-168.263772954925,62,-31
-168.196994991653,62,-31
-168.130217028381,62,-30
-168.063439065109,62,-30
-167.996661101836,62,-29
-167.929883138564,62,-29
-167.863105175292,62,-28
-167.79632721202,62,-28
-167.729549248748,62,-27
-167.662771285476,62,-27
-167.595993322204,62,-26
-167.529215358932,62,-26
-167.462437395659,62,-25
-167.395659432387,62,-25
-167.328881469115,62,-24
-167.262103505843,62,-24
-167.195325542571,62,-23
-167.128547579299,62,-22
-167.061769616027,62,-22
-166.994991652755,62,-21
-166.928213689482,62,-21
-166.86143572621,62,-20
-166.794657762938,62,-19
-166.727879799666,62,-18
-166.661101836394,62,-17
-166.594323873122,62,-15
-166.52754590985,62,-13
-166.460767946578,62,-12
-166.393989983306,62,-10
-166.327212020033,62,-8
-166.260434056761,62,-6
-166.193656093489,62,-5
-166.126878130217,62,-3
-166.060100166945,62,-2
-165.993322203673,62,-2
-165.926544240401,62,-2
-165.859766277129,62,-2
-165.792988313856,62,-2
-165.726210350584,62,3
-165.659432387312,62,4
-165.59265442404,62,4
-165.525876460768,62,4
-165.459098497496,62,6
-165.392320534224,62,6
-165.325542570952,62,7
-165.258764607679,62,6
-165.191986644407,62,6
-165.125208681135,62,7
-165.058430717863,62,6
-164.991652754591,62,5
-164.924874791319,62,5
-164.858096828047,62,5
-164.791318864775,62,2
-164.724540901503,62,4
-164.65776293823,62,116
-164.590984974958,62,202
-164.524207011686,62,71
-164.457429048414,62,4
-164.390651085142,62,4
-164.32387312187,62,4
-164.257095158598,62,4
-164.190317195326,62,1
-164.123539232053,62,1
-164.056761268781,62,1
-163.989983305509,62,4
-163.923205342237,62,6
-163.856427378965,62,6
-163.789649415693,62,4
-163.722871452421,62,6
-163.656093489149,62,7
-163.589315525876,62,6
-163.522537562604,62,5
-163.455759599332,62,4
-163.38898163606,62,2
-163.322203672788,62,1
-163.255425709516,62,2
-163.188647746244,62,1
-163.121869782972,62,3
-163.055091819699,62,5
-162.988313856427,62,31
-162.921535893155,62,61
-162.854757929883,62,35
-162.787979966611,62,10
-162.721202003339,62,2
-162.654424040067,62,2
-162.587646076795,62,4
-162.520868113523,62,4
-162.45409015025,62,2
-162.387312186978,62,2
-162.320534223706,62,3
-162.253756260434,62,2
-162.186978297162,62,2
-162.12020033389,62,6
-162.053422370618,62,3
-161.986644407346,62,43
-161.919866444073,62,29
-161.853088480801,62,36
-161.786310517529,62,54
-161.719532554257,62,45
-161.652754590985,62,38
-161.585976627713,62,58
-161.519198664441,62,90
-161.452420701169,62,182
-161.385642737896,62,77
-161.318864774624,62,100
-161.252086811352,62,271
-161.18530884808,62,198
-161.118530884808,62,121
-161.051752921536,62,200
-160.984974958264,62,103
-160.918196994992,62,79
-160.85141903172,62,49
-160.784641068447,62,36
-160.717863105175,62,12
-160.651085141903,62,17
-160.584307178631,62,75
-160.517529215359,62,109
-160.450751252087,62,66
-160.383973288815,62,77
-160.317195325543,62,93
-160.25041736227,62,64
-160.183639398998,62,50
-160.116861435726,62,66
-160.050083472454,62,29
-159.983305509182,62,16
-159.91652754591,62,17
-159.849749582638,62,16
-159.782971619366,62,16
-159.716193656093,62,19
-159.649415692821,62,17
-159.582637729549,62,16
-159.515859766277,62,16
-159.449081803005,62,20
-159.382303839733,62,43
-159.315525876461,62,61
-159.248747913189,62,169
-159.181969949917,62,170
-159.115191986644,62,271
-159.048414023372,62,285
-158.9816360601,62,189
-158.914858096828,62,139
-158.848080133556,62,184
-158.781302170284,62,240
-158.714524207012,62,280
-158.64774624374,62,239
-158.580968280467,62,203
-158.514190317195,62,234
-158.447412353923,62,232
-158.380634390651,62,252
-158.313856427379,62,165
-158.247078464107,62,139
-158.180300500835,62,237
-158.113522537563,62,253
-158.04674457429,62,200
-157.979966611018,62,243
-157.913188647746,62,254
-157.846410684474,62,211
-157.779632721202,62,273
-157.71285475793,62,221
-157.646076794658,62,162
-157.579298831386,62,198
-157.512520868114,62,194
-157.445742904841,62,149
-157.378964941569,62,171
-157.312186978297,62,196
-157.245409015025,62,289
-157.178631051753,62,303
-157.111853088481,62,262
-157.045075125209,62,315
-156.978297161937,62,271
-156.911519198664,62,232
-156.844741235392,62,214
-156.77796327212,62,176
-156.711185308848,62,145
-156.644407345576,62,217
-156.577629382304,62,264
-156.510851419032,62,199
-156.44407345576,62,200
-156.377295492487,62,220
-156.310517529215,62,181
-156.243739565943,62,84
-156.176961602671,62,89
-156.110183639399,62,97
-156.043405676127,62,94
-155.976627712855,62,102
-155.909849749583,62,106
-155.843071786311,62,129
-155.776293823038,62,145
-155.709515859766,62,140
-155.642737896494,62,167
-155.575959933222,62,182
-155.50918196995,62,179
-155.442404006678,62,193
-155.375626043406,62,241
-155.308848080134,62,287
-155.242070116861,62,378
-155.175292153589,62,493
-155.108514190317,62,502
-155.041736227045,62,673
-154.974958263773,62,630
-154.908180300501,62,579
-154.841402337229,62,666
-154.774624373957,62,675
-154.707846410684,62,617
-154.641068447412,62,519
-154.57429048414,62,468
-154.507512520868,62,508
-154.440734557596,62,671
-154.373956594324,62,815
-154.307178631052,62,1308
-154.24040066778,62,1198
-154.173622704508,62,1214
-154.106844741235,62,1529
-154.040066777963,62,1519
-153.973288814691,62,1489
-153.906510851419,62,1568
-153.839732888147,62,1489
-153.772954924875,62,1403
