,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1948,3.616,4.276,3.86,3.675,5.059,8.121,10.111,10.849,11.145,7.875,6.046,4.755
1949,3.707,3.167,3.113,3.702,4.69,6.946,9.638,11.317,10.688,8.404,6.662,5.225
1950,4.075,3.722,3.612,3.504,3.555,6.257,9.068,10.905,10.322,7.881,5.933,4.477
1951,3.749,3.342,3.012,3.292,4.926,7.415,10.315,11.853,11.347,9.218,7.079,5.356
1952,4.037,3.774,3.498,3.408,4.088,6.825,9.591,11.426,11,9.106,6.779,4.986
1953,4.189,3.856,3.366,3.876,5.686,8.062,10.735,11.988,11.196,8.698,6.768,5.008
1954,4.016,3.323,2.996,3.572,4.978,7.597,9.945,11.716,11.083,8.857,6.876,5.253
1955,4.353,3.934,3.592,3.69,4.771,6.59,9.137,11.043,10.151,7.653,5.749,4.347
1956,3.343,1.554,1.495,3.071,4.733,7.051,9.713,11.347,10.636,8.267,5.889,4.357
1957,3.989,3.764,3.822,4.21,6.171,8.902,11.349,12.511,11.72,9.795,7.642,5.583
1958,4.598,4.17,4.082,4.803,6.044,8.513,10.503,11.686,11.135,8.75,6.237,5.12
1959,4.405,3.838,2.216,3.687,5.341,8.194,10.511,11.546,10.911,9.155,7.157,5.095
1960,3.952,3.587,3.544,4.059,5.554,7.81,10.283,11.327,10.536,8.276,6.081,4.506
1961,3.978,3.723,3.651,4.056,5.518,7.83,10.093,11.459,10.591,8.265,6.046,4.614
1962,4.025,3.793,3.739,4.338,5.567,7.621,10.307,11.825,10.992,8.353,6.302,4.815
1963,4.349,4.093,3.861,4.256,5.678,8.029,10.429,11.982,11.448,8.987,6.616,5.358
1964,4.331,3.744,3.288,3.589,5.143,7.619,9.622,10.689,10.117,7.92,5.588,4.333
1965,3.49,2.051,3.369,3.992,5.083,7.021,9.389,11.172,10.724,8.261,6.387,4.708
1966,3.977,3.643,3.281,3.639,4.8,7.431,9.91,11.012,10.186,8.173,5.864,4.53
1967,3.657,3.293,3.256,4.075,5.762,8.002,10.49,12.136,10.99,8.716,6.655,4.833
1968,3.961,3.464,3.535,4.015,5.677,8.281,10.579,11.623,10.809,8.337,6.137,4.439
1969,3.476,3.245,3.175,3.646,5.066,7.428,10.191,11.62,10.876,8.867,6.721,5.195
1970,4.237,4.092,4.172,4.577,5.5,7.529,9.414,10.578,10.295,8.773,6.87,5.06
1971,3.859,3.078,2.891,3.033,3.903,6.11,8.664,10.271,9.547,7.649,5.585,4.238
1972,3.433,2.904,2.627,3.002,4.331,6.526,9.213,10.906,10.183,8.063,6.195,4.724
1973,3.775,3.377,3.214,3.721,5.038,7.023,9.222,10.577,10,8.089,6.11,4.564
1974,4.016,3.623,3.286,3.887,5.284,7.498,10.253,11.777,11.286,8.951,6.632,4.883
1975,4.035,3.442,3.146,3.272,4.444,6.453,9.103,10.388,9.936,7.882,5.562,4.188
1976,3.712,3.354,2.972,3.136,4.368,6.683,9.278,10.528,9.877,8.15,6.221,5.141
1977,4.633,4.412,4.142,4.449,5.783,8.345,10.615,12.087,11.634,8.851,6.348,5.048
1978,4.408,4.055,3.991,4.579,5.743,7.633,9.679,11.141,10.752,8.74,6.671,5.187
1979,4.498,3.879,3.795,4.519,5.808,8.128,10.557,12.17,11.769,9.248,6.958,5.416
1980,4.132,3.712,3.783,4.191,5.365,7.394,9.966,11.412,10.68,8.465,6.626,5.228
1981,4.476,4.23,4.096,4.798,6.297,8.57,10.671,11.864,11.132,8.94,6.707,5.146
1982,4.467,4.009,3.116,3.169,4.648,6.668,8.313,10.488,10.2,8.248,6.267,5.017
1983,4.054,3.237,4.132,5.006,6.07,8.892,11.295,12.645,11.685,8.774,6.711,5.796
1984,5.236,4.151,4.319,4.83,6.34,9.481,11.286,13.128,11.349,9.376,7.461,6.186
1985,5.516,4.459,4.051,3.936,5.06,6.939,9.592,10.844,10.81,8.463,5.448,4.986
1986,4.499,4.379,3.961,4.155,5.122,6.77,9.16,11.076,10.978,9.573,8.164,6.267
1987,5.117,3.965,4.497,4.855,6.214,7.888,9.796,12.074,11.326,9.098,7.076,5.041
1988,3.599,3.528,3.597,4.123,5.622,8.156,10.453,11.559,10.287,8.529,6.548,3.825
1989,3.285,3.052,2.844,3.628,5.155,7.171,10.454,11.966,11.591,9.006,6.262,4.17
1990,3.185,3.045,2.985,3.881,5.608,8.232,10.618,11.647,10.963,8.409,6.032,4.356
1991,3.055,3.199,3.168,3.65,4.892,7.224,10.346,11.215,10.324,8.859,7.179,5.239
1992,3.742,3.501,3.348,4.096,5.973,8.189,10.597,11.532,10.656,8.129,6.284,4.927
1993,3.911,3.142,3.503,4.253,5.877,8.353,10.57,12.204,10.911,9.057,7.433,5.848
1994,4.832,4.285,3.976,4.148,5.432,8.231,10.313,12.374,10.84,8.215,5.6,4.143
1995,3.686,3.48,3.083,2.924,4.93,7.347,9.841,10.994,11.386,9.049,6.562,5.134
