"year","mismatchmean","mismatch20","mismatchmed","SurveyResiduals","JAN","FEB","MAR","Fem40p_haul_logit","Fem40p_fish_logit","Fem40p_wt_logit","Fem30p_haul_logit","Fem30p_fish_logit","Fem30p_wt_logit"
1983,29.74197514901,24.1136154553818,30.113615455382,NA,4.054,3.237,4.132,-3.44895629896284,-3.44895629896284,-3.44895629896284,-3.74455167513115,-3.71829486809054,-3.74455167513115
1984,NA,NA,NA,NA,5.236,4.151,4.319,-3.64727795638492,-3.5998838816117,-3.64727795638492,-3.72262562648724,-3.74012964412423,-3.72262562648724
1985,41.622227847426,35.043289051764,41.043289051764,NA,5.516,4.459,4.051,-5.01406375364087,-4.51735040151709,-5.01406375364087,-5.06088571683983,-4.70148995699377,-5.06088571683983
1986,NA,NA,NA,NA,4.499,4.379,3.961,-1.57292366156131,-1.5920191947664,-1.57292366156131,-1.97362554890186,-2.11757837012041,-1.97362554890186
1987,31.20919659967,27.334777412608,31.334777412608,NA,5.117,3.965,4.497,-3.42248810447104,-3.41272937793523,-3.42248810447104,-3.9879660275412,-3.76242874285743,-3.9879660275412
1988,31.384115554406,23.324022346369,32.324022346369,NA,3.599,3.528,3.597,-4.16448419785537,-3.74455167513115,-4.16448419785537,-5.06088571683983,-5.1974920060556,-5.06088571683983
1989,29.138244317123,23.640926640927,28.640926640927,NA,3.285,3.052,2.844,-2.82856413872492,-3.03658920196187,-2.82856413872492,-2.93604966821814,-3.31678003984957,-2.93604966821814
1990,24.165200511679,16.3199046667179,23.319904666718,NA,3.185,3.045,2.985,-1.31351052008535,-1.16753960572847,-1.31351052008535,-1.4921449527493,-1.44871115348677,-1.4921449527493
1991,28.137053474653,25.295031055901,28.295031055901,NA,3.055,3.199,3.168,-3.09051985078567,-2.75864974259461,-3.09051985078567,-3.11482164512443,-2.98736402388347,-3.11482164512443
1992,21.88062712552,15.3430962343096,21.34309623431,0.124599252711889,3.742,3.501,3.348,-2.86521779379545,-1.96710665741747,-2.86521779379545,-2.96354986974492,-2.70124383642338,-2.96354986974492
1993,32.693494186512,25.413903899518,32.413903899518,-0.461948312321789,3.911,3.142,3.503,-5.62321493792596,-4.94053516999228,-5.62321493792596,-5.65148617115748,-5.06088571683983,-5.65148617115748
1994,21.706504445064,12.6170817807413,22.617081780741,-0.381317167587309,4.832,4.285,3.976,-2.8380945082468,-2.98517781014554,-2.8380945082468,-2.93396219397103,-3.08572356925395,-2.93396219397103
