"year","Fem40p_haul","Fem40p_fish","Fem40p_wt","Fem30p_haul","Fem30p_fish","Fem30p_wt","FemMature_haul","FemMature_fish","FemMature_wt","Fem40pMature_haul","Fem40pMature_fish","Fem40pMature_wt","Fem30pMature_haul","Fem30pMature_fish","Fem30pMature_wt"
1983,0.0308,0.0308,0.0308,0.0231,0.0237,0.0231,0.0314,0.0314,0.0314,0.0341,0.0339,0.0341,0.0314,0.0314,0.0314
1984,0.0254,0.0266,0.0254,0.0236,0.0232,0.0236,0.0257,0.0273,0.0257,0.0258,0.0274,0.0258,0.0257,0.0273,0.0257
1985,0.0066,0.0108,0.0066,0.0063,0.009,0.0063,0.0065,0.0129,0.0065,0.0066,0.0134,0.0066,0.0065,0.013,0.0065
1986,0.1718,0.1691,0.1718,0.122,0.1074,0.122,0.1719,0.1806,0.1719,0.1811,0.1824,0.1811,0.1719,0.1806,0.1719
1987,0.0316,0.0319,0.0316,0.0182,0.0227,0.0182,0.0362,0.0379,0.0362,0.0388,0.039,0.0388,0.0385,0.038,0.0385
1988,0.0153,0.0231,0.0153,0.0063,0.0055,0.0063,0.0242,0.0267,0.0242,0.0472,0.0412,0.0472,0.0242,0.0268,0.0242
1989,0.0558,0.0458,0.0558,0.0504,0.035,0.0504,0.0659,0.1139,0.0659,0.089,0.1045,0.089,0.0659,0.1139,0.0659
1990,0.2119,0.2373,0.2119,0.1836,0.1902,0.1836,0.2755,0.3423,0.2755,0.2562,0.3301,0.2562,0.2755,0.3423,0.2755
1991,0.0435,0.0596,0.0435,0.0425,0.048,0.0425,0.0718,0.0842,0.0718,0.0644,0.0821,0.0644,0.0718,0.0842,0.0718
1992,0.0539,0.1227,0.0539,0.0491,0.0629,0.0491,0.0609,0.149,0.0609,0.0622,0.1504,0.0622,0.0609,0.149,0.0609
1993,0.0036,0.0071,0.0036,0.0035,0.0063,0.0035,0.0113,0.0119,0.0113,0.0113,0.0123,0.0113,0.0113,0.0119,0.0113
1994,0.0553,0.0481,0.0553,0.0505,0.0437,0.0505,0.0593,0.052,0.0593,0.0593,0.0521,0.0593,0.0593,0.052,0.0593
1995,0.6093,0.5793,0.6093,0.5504,0.5102,0.5504,0.6701,0.657,0.6701,0.6701,0.657,0.6701,0.6701,0.657,0.6701
1996,0.1867,0.2263,0.1867,0.1776,0.2067,0.1776,0.2031,0.2439,0.2031,0.2031,0.2439,0.2031,0.2031,0.2439,0.2031
