"Year","MeanSpawn","MedSpawn","DurSpawn","StartSpawn","Spawn10","Spawn20","EndSpawn","StartDOY","EndDOY","meanDOY","mismatchmean","mismatch20","mismatch10","mismatchmed"
1979,106.871753950815,105.430726489904,17.9838905563064,96.4307264899035,103.430726489904,104.430726489904,117.430726489904,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,93,105,99,NA,NA,NA,NA
1981,108.02392754227,108.21028835527,24.6166893212722,94.2102883552698,100.21028835527,103.21028835527,119.21028835527,61,88,74.5,33.52392754227,28.71028835527,25.71028835527,33.71028835527
1982,110.171669378333,110.554239239124,22.0204785435964,97.5542392391236,104.554239239124,106.554239239124,121.554239239124,NA,NA,NA,NA,NA,NA,NA
1983,101.24197514901,101.613615455382,27.1489007001886,87.6136154553818,92.6136154553818,95.6136154553818,114.613615455382,65,78,71.5,29.74197514901,24.1136154553818,21.1136154553818,30.113615455382
1984,NA,NA,NA,NA,NA,NA,NA,61,78,69.5,NA,NA,NA,NA
1985,107.122227847426,106.543289051764,30.0273087598617,93.5432890517636,99.5432890517636,100.543289051764,122.543289051764,52,79,65.5,41.622227847426,35.043289051764,34.0432890517636,41.043289051764
1986,NA,NA,NA,NA,NA,NA,NA,64,89,76.5,NA,NA,NA,NA
1987,110.70919659967,110.834777412608,19.4153715801226,100.834777412608,104.834777412608,106.834777412608,120.834777412608,71,88,79.5,31.20919659967,27.334777412608,25.334777412608,31.334777412608
1988,110.384115554406,111.324022346369,39.2938539582942,88.3240223463687,97.3240223463687,102.324022346369,127.324022346369,71,87,79,31.384115554406,23.324022346369,18.3240223463687,32.324022346369
1989,110.138244317123,109.640926640927,29.3318730069161,95.6409266409267,101.640926640927,104.640926640927,125.640926640927,73,89,81,29.138244317123,23.640926640927,20.640926640927,28.640926640927
