"","model","Ecov","dAIC","AIC"
"fit0...1","fit0","Fem30p",114.5,2021.1
"fit1...2","fit1","Fem30p",8.3,1914.9
"fit2...3","fit2","Fem30p",13.8,1920.4
"fit3...4","fit3","Fem30p",0,1906.6
"fit0...5","fit0","mismatch",118.5,2002.5
"fit1...6","fit1","mismatch",12.3,1896.3
"fit2...7","fit2","mismatch",6.4,1890.4
"fit3...8","fit3","mismatch",0,1884
"fit0...9","fit0","SST",106.2,2033.6
"fit1...10","fit1","SST",0,1927.4
"fit2...11","fit2","SST",71,1998.4
"fit3...12","fit3","SST",1,1928.4
"fit0...13","fit0","noise1",106.2,2007.5
"fit1...14","fit1","noise1",0,1901.3
"fit2...15","fit2","noise1",102,2003.3
"fit3...16","fit3","noise1",2,1903.3
"fit0...17","fit0","noise2",106.2,2038.3
"fit1...18","fit1","noise2",0,1932.1
"fit2...19","fit2","noise2",102.8,2034.9
"fit3...20","fit3","noise2",1.5,1933.6
