"","model","year","expected","Ecov"
"1","fit0",1992,625071.490001893,"Fem30p"
"2","fit0",1993,680705.755128665,"Fem30p"
"3","fit0",1994,713738.891689264,"Fem30p"
"4","fit0",1995,557450.396902772,"Fem30p"
"5","fit0",1996,491400.372007965,"Fem30p"
"6","fit0",1997,435000.284032768,"Fem30p"
"7","fit0",1998,351345.852537683,"Fem30p"
"8","fit0",1999,334929.031835189,"Fem30p"
"9","fit0",2000,314809.864127958,"Fem30p"
"10","fit0",2001,273670.536089339,"Fem30p"
"11","fit0",2002,277089.936399866,"Fem30p"
"12","fit0",2003,320932.076326163,"Fem30p"
"13","fit0",2004,352807.983232995,"Fem30p"
"14","fit0",2005,327893.058566175,"Fem30p"
"15","fit0",2006,307824.954037945,"Fem30p"
"16","fit0",2007,268702.064112491,"Fem30p"
"17","fit0",2008,313231.973758177,"Fem30p"
"18","fit0",2009,350634.612567938,"Fem30p"
"19","fit0",2010,520346.525195007,"Fem30p"
"20","fit0",2011,568538.164410718,"Fem30p"
"21","fit0",2012,518056.008579946,"Fem30p"
"22","fit0",2013,553128.869845433,"Fem30p"
"23","fit0",2014,415289.370179002,"Fem30p"
"24","fit0",2015,823107.076704055,"Fem30p"
"25","fit0",2016,859705.738695464,"Fem30p"
"26","fit0",2017,669843.274824119,"Fem30p"
"27","fit0",2018,471332.990299396,"Fem30p"
"28","fit0",2019,364932.952894062,"Fem30p"
"29","fit0",2020,333443.528097271,"Fem30p"
"30","fit0",2021,460541.077873444,"Fem30p"
"31","fit1",1992,632193.040568832,"Fem30p"
"32","fit1",1993,490939.731911196,"Fem30p"
"33","fit1",1994,532839.682415292,"Fem30p"
"34","fit1",1995,567068.209506643,"Fem30p"
"35","fit1",1996,580975.929886742,"Fem30p"
"36","fit1",1997,560481.644595999,"Fem30p"
"37","fit1",1998,464939.791873962,"Fem30p"
"38","fit1",1999,382393.397365547,"Fem30p"
"39","fit1",2000,319761.981924591,"Fem30p"
"40","fit1",2001,232582.571799916,"Fem30p"
"41","fit1",2002,245198.897726618,"Fem30p"
"42","fit1",2003,302431.777678992,"Fem30p"
"43","fit1",2004,322401.722450277,"Fem30p"
"44","fit1",2005,302178.838689813,"Fem30p"
"45","fit1",2006,234814.249654474,"Fem30p"
"46","fit1",2007,166838.113507551,"Fem30p"
"47","fit1",2008,155748.608461303,"Fem30p"
"48","fit1",2009,178363.497779054,"Fem30p"
"49","fit1",2010,346512.45970169,"Fem30p"
"50","fit1",2011,362077.995500032,"Fem30p"
"51","fit1",2012,326685.227652188,"Fem30p"
"52","fit1",2013,623212.783186588,"Fem30p"
"53","fit1",2014,562268.554847232,"Fem30p"
"54","fit1",2015,854446.788827532,"Fem30p"
"55","fit1",2016,835304.552674281,"Fem30p"
"56","fit1",2017,1271503.20638148,"Fem30p"
"57","fit1",2018,1177309.56924806,"Fem30p"
"58","fit1",2019,906272.765977467,"Fem30p"
"59","fit1",2020,484807.914683555,"Fem30p"
"60","fit1",2021,513373.862154008,"Fem30p"
"61","fit2",1992,659349.838722425,"Fem30p"
"62","fit2",1993,374398.168741554,"Fem30p"
"63","fit2",1994,697902.82542391,"Fem30p"
"64","fit2",1995,1093662.30120958,"Fem30p"
"65","fit2",1996,661089.957495171,"Fem30p"
"66","fit2",1997,487052.053763885,"Fem30p"
"67","fit2",1998,408774.380423221,"Fem30p"
"68","fit2",1999,342969.658237995,"Fem30p"
"69","fit2",2000,290762.519860262,"Fem30p"
"70","fit2",2001,210246.55027406,"Fem30p"
"71","fit2",2002,176889.985971948,"Fem30p"
"72","fit2",2003,286262.690244065,"Fem30p"
"73","fit2",2004,405605.686839087,"Fem30p"
"74","fit2",2005,430822.396689487,"Fem30p"
"75","fit2",2006,199697.235722669,"Fem30p"
"76","fit2",2007,200466.413762185,"Fem30p"
"77","fit2",2008,155713.350161745,"Fem30p"
"78","fit2",2009,395068.131525236,"Fem30p"
"79","fit2",2010,440974.806874531,"Fem30p"
"80","fit2",2011,475133.431046168,"Fem30p"
"81","fit2",2012,389446.418831074,"Fem30p"
"82","fit2",2013,444547.129502297,"Fem30p"
"83","fit2",2014,659341.363080776,"Fem30p"
"84","fit2",2015,756038.494588815,"Fem30p"
"85","fit2",2016,796169.656294215,"Fem30p"
"86","fit2",2017,1002312.26403633,"Fem30p"
"87","fit2",2018,1126108.80047176,"Fem30p"
"88","fit2",2019,481281.723234126,"Fem30p"
"89","fit2",2020,340212.467805714,"Fem30p"
"90","fit2",2021,428822.491999029,"Fem30p"
"91","fit3",1992,646520.033930636,"Fem30p"
"92","fit3",1993,424553.57283641,"Fem30p"
"93","fit3",1994,553318.877864308,"Fem30p"
"94","fit3",1995,681664.476427424,"Fem30p"
"95","fit3",1996,576942.870896302,"Fem30p"
"96","fit3",1997,530260.748774184,"Fem30p"
"97","fit3",1998,456728.517044863,"Fem30p"
"98","fit3",1999,377293.672365546,"Fem30p"
"99","fit3",2000,319242.996138856,"Fem30p"
"100","fit3",2001,233333.47812899,"Fem30p"
"101","fit3",2002,221967.084092236,"Fem30p"
"102","fit3",2003,299173.196985221,"Fem30p"
"103","fit3",2004,341834.644391248,"Fem30p"
"104","fit3",2005,336238.334575789,"Fem30p"
"105","fit3",2006,207708.35524422,"Fem30p"
"106","fit3",2007,171360.848033626,"Fem30p"
"107","fit3",2008,139297.524487067,"Fem30p"
"108","fit3",2009,220820.503269742,"Fem30p"
"109","fit3",2010,336536.363297017,"Fem30p"
"110","fit3",2011,377010.414243232,"Fem30p"
"111","fit3",2012,339847.810656946,"Fem30p"
"112","fit3",2013,542281.656687844,"Fem30p"
"113","fit3",2014,627087.45179042,"Fem30p"
"114","fit3",2015,822503.23295879,"Fem30p"
"115","fit3",2016,848001.309411153,"Fem30p"
"116","fit3",2017,1236781.71139905,"Fem30p"
"117","fit3",2018,1307571.68286723,"Fem30p"
"118","fit3",2019,794390.11781728,"Fem30p"
"119","fit3",2020,474339.111864247,"Fem30p"
"120","fit3",2021,533234.091242427,"Fem30p"
"121","fit0",1992,625062.320537046,"mismatch"
"122","fit0",1993,680699.863515757,"mismatch"
"123","fit0",1994,713724.617797871,"mismatch"
"124","fit0",1995,557430.199131622,"mismatch"
"125","fit0",1996,491385.693621852,"mismatch"
"126","fit0",1997,434994.499823588,"mismatch"
"127","fit0",1998,351342.613741583,"mismatch"
"128","fit0",1999,334925.880400868,"mismatch"
"129","fit0",2000,314804.095975762,"mismatch"
"130","fit0",2001,273658.361389619,"mismatch"
"131","fit0",2002,277082.586114414,"mismatch"
"132","fit0",2003,320928.027993501,"mismatch"
"133","fit0",2004,352804.389561586,"mismatch"
"134","fit0",2005,327887.29105457,"mismatch"
"135","fit0",2006,307808.24589003,"mismatch"
"136","fit0",2007,268687.306109851,"mismatch"
"137","fit0",2008,313227.905814987,"mismatch"
"138","fit0",2009,350632.968123188,"mismatch"
"139","fit0",2010,520344.428588793,"mismatch"
"140","fit0",2011,568530.713872001,"mismatch"
"141","fit0",2012,518039.944118598,"mismatch"
"142","fit0",2013,553109.979335023,"mismatch"
"143","fit0",2014,415275.193170796,"mismatch"
"144","fit0",2015,823107.85003876,"mismatch"
"145","fit0",2016,859711.864040581,"mismatch"
"146","fit0",2017,669841.493553019,"mismatch"
"147","fit0",2018,471320.319026201,"mismatch"
"148","fit0",2019,364895.210451309,"mismatch"
"149","fit0",2020,333438.823706892,"mismatch"
"150","fit0",2021,460541.992449646,"mismatch"
"151","fit1",1992,632192.111630522,"mismatch"
"152","fit1",1993,490942.114854318,"mismatch"
"153","fit1",1994,532841.105630245,"mismatch"
"154","fit1",1995,567064.637042005,"mismatch"
"155","fit1",1996,580973.252300175,"mismatch"
"156","fit1",1997,560483.006337066,"mismatch"
"157","fit1",1998,464940.926512721,"mismatch"
"158","fit1",1999,382396.358097739,"mismatch"
"159","fit1",2000,319763.90138455,"mismatch"
"160","fit1",2001,232580.380835827,"mismatch"
"161","fit1",2002,245198.776053183,"mismatch"
"162","fit1",2003,302432.673658999,"mismatch"
"163","fit1",2004,322402.663086422,"mismatch"
"164","fit1",2005,302181.235572722,"mismatch"
"165","fit1",2006,234812.52645995,"mismatch"
"166","fit1",2007,166835.818387231,"mismatch"
"167","fit1",2008,155749.651413254,"mismatch"
"168","fit1",2009,178364.24666137,"mismatch"
"169","fit1",2010,346514.035958635,"mismatch"
"170","fit1",2011,362080.987768409,"mismatch"
"171","fit1",2012,326684.298580894,"mismatch"
"172","fit1",2013,623211.392549,"mismatch"
"173","fit1",2014,562264.768249466,"mismatch"
"174","fit1",2015,854450.687839085,"mismatch"
"175","fit1",2016,835308.791999822,"mismatch"
"176","fit1",2017,1271507.15030796,"mismatch"
"177","fit1",2018,1177329.08002549,"mismatch"
"178","fit1",2019,906234.619137632,"mismatch"
"179","fit1",2020,484813.539098875,"mismatch"
"180","fit1",2021,513378.30680736,"mismatch"
"181","fit2",1992,812004.106569926,"mismatch"
"182","fit2",1993,492990.412361193,"mismatch"
"183","fit2",1994,810407.935889701,"mismatch"
"184","fit2",1995,764109.357456246,"mismatch"
"185","fit2",1996,651067.00914908,"mismatch"
"186","fit2",1997,563176.640737948,"mismatch"
"187","fit2",1998,391216.686336008,"mismatch"
"188","fit2",1999,365488.256615009,"mismatch"
"189","fit2",2000,346188.268410262,"mismatch"
"190","fit2",2001,203276.951265018,"mismatch"
"191","fit2",2002,135132.250169897,"mismatch"
"192","fit2",2003,250583.126880262,"mismatch"
"193","fit2",2004,362606.597473509,"mismatch"
"194","fit2",2005,526824.767744451,"mismatch"
"195","fit2",2006,357157.496312875,"mismatch"
"196","fit2",2007,140636.336534708,"mismatch"
"197","fit2",2008,164651.510476953,"mismatch"
"198","fit2",2009,221856.919316522,"mismatch"
"199","fit2",2010,452167.424612515,"mismatch"
"200","fit2",2011,424181.43196424,"mismatch"
"201","fit2",2012,314271.396769895,"mismatch"
"202","fit2",2013,581729.591064507,"mismatch"
"203","fit2",2014,546157.919347776,"mismatch"
"204","fit2",2015,663571.090066801,"mismatch"
"205","fit2",2016,732641.992937175,"mismatch"
"206","fit2",2017,1072480.3968305,"mismatch"
"207","fit2",2018,1063440.72456872,"mismatch"
"208","fit2",2019,521319.556187716,"mismatch"
"209","fit2",2020,431854.869261671,"mismatch"
"210","fit2",2021,471904.27708241,"mismatch"
"211","fit3",1992,655018.561651469,"mismatch"
"212","fit3",1993,431365.852770965,"mismatch"
"213","fit3",1994,605841.819758418,"mismatch"
"214","fit3",1995,607581.659195694,"mismatch"
"215","fit3",1996,584592.776626641,"mismatch"
"216","fit3",1997,559661.34122936,"mismatch"
"217","fit3",1998,427512.287458605,"mismatch"
