"","par","est","sd","lwr","upr","model","year","Ecov"
"1","log_SSB",108129.224864132,0.329561113058593,56678.0639553183,206286.673428636,"fit0",1970,"Fem30p"
"2","log_SSB",111721.640563672,0.339179901076533,57467.3993655392,217196.621180722,"fit0",1971,"Fem30p"
"3","log_SSB",108426.129810252,0.355192567766862,54049.0342950877,217510.37329261,"fit0",1972,"Fem30p"
"4","log_SSB",93346.965190928,0.390624490129704,43410.4136770199,200727.317993034,"fit0",1973,"Fem30p"
"5","log_SSB",84163.5008424087,0.362449848379962,41361.8783061898,171256.605457158,"fit0",1974,"Fem30p"
"6","log_SSB",92678.6644596609,0.263070020276009,55341.3876749918,155206.35110326,"fit0",1975,"Fem30p"
"7","log_SSB",123202.868406026,0.191770718008574,84602.3231001682,179415.248036403,"fit0",1976,"Fem30p"
"8","log_SSB",135998.108969975,0.190784686559996,93569.3614862467,197666.045269827,"fit0",1977,"Fem30p"
"9","log_SSB",123281.381279223,0.224338390137679,79421.2647721848,191363.0941752,"fit0",1978,"Fem30p"
"10","log_SSB",127119.938617555,0.237659838506845,79783.5829529905,202541.40257968,"fit0",1979,"Fem30p"
"11","log_SSB",168537.237965551,0.230962850628105,107175.699050069,265030.233838615,"fit0",1980,"Fem30p"
"12","log_SSB",185465.740300964,0.22142947436747,120165.313449676,286251.829566359,"fit0",1981,"Fem30p"
"13","log_SSB",304341.354639757,0.209325855009846,201919.938088021,458714.780823606,"fit0",1982,"Fem30p"
"14","log_SSB",424732.645583313,0.211178657622777,280773.903848645,642502.090655285,"fit0",1983,"Fem30p"
"15","log_SSB",462971.083172206,0.232877569601985,293308.383918746,730774.282650658,"fit0",1984,"Fem30p"
"16","log_SSB",408940.616958599,0.278470974621594,236930.498874318,705829.046885133,"fit0",1985,"Fem30p"
"17","log_SSB",361998.885096652,0.325761203874421,191167.340431395,685489.438287429,"fit0",1986,"Fem30p"
"18","log_SSB",349053.659263202,0.324546903544272,184770.355228157,659404.788688011,"fit0",1987,"Fem30p"
"19","log_SSB",349900.49737354,0.317330463112302,187857.014661473,651720.981954681,"fit0",1988,"Fem30p"
"20","log_SSB",370036.229047296,0.289709037198771,209719.558870152,652904.343043757,"fit0",1989,"Fem30p"
"21","log_SSB",379715.129644343,0.285708400018025,216899.225860751,664749.166847585,"fit0",1990,"Fem30p"
"22","log_SSB",374241.482341725,0.292047458007158,211132.995654622,663357.646544463,"fit0",1991,"Fem30p"
"23","log_SSB",344213.252725973,0.288169745577695,195673.74083421,605511.822113027,"fit0",1992,"Fem30p"
"24","log_SSB",374294.299700824,0.270340701173862,220340.617692336,635816.601840286,"fit0",1993,"Fem30p"
"25","log_SSB",440579.70626484,0.258138270091783,265639.563271694,730728.793488784,"fit0",1994,"Fem30p"
"26","log_SSB",368547.357585147,0.259269401063053,221716.866501038,612615.345537361,"fit0",1995,"Fem30p"
"27","log_SSB",345754.86034849,0.255580704944184,209514.268860566,570588.457314871,"fit0",1996,"Fem30p"
"28","log_SSB",311389.234942348,0.257534975563211,187968.639327598,515848.047763914,"fit0",1997,"Fem30p"
"29","log_SSB",243455.338228892,0.272527106355212,142705.116866103,415335.504526838,"fit0",1998,"Fem30p"
"30","log_SSB",230067.21339697,0.278144219408258,133380.884465464,396840.393526945,"fit0",1999,"Fem30p"
"31","log_SSB",218662.1702018,0.285164063315493,125036.584798041,382393.239183466,"fit0",2000,"Fem30p"
"32","log_SSB",204530.373365239,0.301025501356529,113375.634717361,368974.107472123,"fit0",2001,"Fem30p"
"33","log_SSB",175204.234381078,0.313091853177639,94849.5844102101,323633.71896604,"fit0",2002,"Fem30p"
"34","log_SSB",162402.576776767,0.302703856136003,89727.6289265928,293940.64302436,"fit0",2003,"Fem30p"
"35","log_SSB",176935.423467634,0.261834955012418,105909.855767412,295592.358717042,"fit0",2004,"Fem30p"
"36","log_SSB",209261.758611647,0.260641328451595,125553.115248524,348780.542247472,"fit0",2005,"Fem30p"
"37","log_SSB",222976.601969228,0.270947179062872,131106.552583377,379222.579238556,"fit0",2006,"Fem30p"
"38","log_SSB",197247.767890485,0.289792588229685,111772.680521484,348087.58058102,"fit0",2007,"Fem30p"
"39","log_SSB",195406.503540378,0.294793416173707,109649.281981947,348234.853304032,"fit0",2008,"Fem30p"
"40","log_SSB",186769.072845179,0.287902533295911,106227.602321252,328376.860714186,"fit0",2009,"Fem30p"
"41","log_SSB",243454.136201919,0.255906069304368,147429.880541987,402021.057169226,"fit0",2010,"Fem30p"
"42","log_SSB",277576.170958387,0.239219698819012,173681.780264876,443618.959722865,"fit0",2011,"Fem30p"
"43","log_SSB",290778.386537076,0.238694461133523,182129.919337313,464240.419063223,"fit0",2012,"Fem30p"
"44","log_SSB",306755.594033641,0.25442623396246,186303.283325968,505085.003286231,"fit0",2013,"Fem30p"
"45","log_SSB",229379.588918643,0.272799639826742,134382.596682229,391531.322593081,"fit0",2014,"Fem30p"
"46","log_SSB",206881.195963112,0.300120506702558,114882.343291084,372553.588454262,"fit0",2015,"Fem30p"
"47","log_SSB",228439.831631072,0.238809332698885,143051.765987841,364796.312127094,"fit0",2016,"Fem30p"
"48","log_SSB",314443.31914248,0.221360331184477,203758.931241474,485252.844382874,"fit0",2017,"Fem30p"
"49","log_SSB",302832.793833488,0.237611574852198,190083.249402506,482460.718181448,"fit0",2018,"Fem30p"
"50","log_SSB",237743.265057051,0.269990129801487,140051.570959672,403578.908059967,"fit0",2019,"Fem30p"
"51","log_SSB",167500.574474974,0.317561363929228,89888.1848762067,312126.031781434,"fit0",2020,"Fem30p"
"52","log_SSB",184986.698017038,0.319902597423163,98817.5113005898,346295.6918552,"fit0",2021,"Fem30p"
"53","log_SSB",126749.847442909,0.345244319444447,64427.2430736847,249359.169511982,"fit1",1970,"Fem30p"
"54","log_SSB",131551.930165719,0.35370590851443,65768.3091976639,263134.487437011,"fit1",1971,"Fem30p"
